run,experiment,attention,pca_components,dropout,weight_decay,lr,lambda_entropy,avg_f1,avg_mse,avg_mae,error
dropout_wd_attnFalse_pcaNone,dropout_wd,False,,0.4,0.5,0.001,0.001,0.41180555555555554,0.0,0.0,
dropout_lr_attnTrue_pca2,dropout_lr,True,2,0.4,0.1,0.0005,0.001,0.18958333333333333,0.0,0.0,
dropout_lr_attnTrue_pca4,dropout_lr,True,4,0.4,0.1,0.0005,0.001,0.27569444444444446,0.0,0.0,
dropout_lr_attnTrue_pca8,dropout_lr,True,8,0.4,0.1,0.0005,0.001,0.28888888888888886,0.0,0.0,
dropout_lr_attnTrue_pcaNone,dropout_lr,True,,0.4,0.1,0.0005,0.001,0.60625,0.0,0.0,
dropout_lr_attnFalse_pca2,dropout_lr,False,2,0.4,0.1,0.0005,0.001,0.41736111111111107,0.0,0.0,
dropout_lr_attnFalse_pca4,dropout_lr,False,4,0.4,0.1,0.0005,0.001,0.31666666666666665,0.0,0.0,
dropout_lr_attnFalse_pca8,dropout_lr,False,8,0.4,0.1,0.0005,0.001,0.20138888888888884,0.0,0.0,
dropout_lr_attnFalse_pcaNone,dropout_lr,False,,0.4,0.1,0.0005,0.001,0.4965277777777778,0.0,0.0,
wd_lr_attnTrue_pca2,wd_lr,True,2,0.2,0.5,0.0005,0.001,0.2020833333333333,0.0,0.0,
wd_lr_attnTrue_pca4,wd_lr,True,4,0.2,0.5,0.0005,0.001,0.22777777777777775,0.0,0.0,
wd_lr_attnTrue_pca8,wd_lr,True,8,0.2,0.5,0.0005,0.001,0.26319444444444445,0.0,0.0,
wd_lr_attnTrue_pcaNone,wd_lr,True,,0.2,0.5,0.0005,0.001,0.2131944444444444,0.0,0.0,
wd_lr_attnFalse_pca2,wd_lr,False,2,0.2,0.5,0.0005,0.001,0.31527777777777777,0.0,0.0,
wd_lr_attnFalse_pca4,wd_lr,False,4,0.2,0.5,0.0005,0.001,0.35833333333333334,0.0,0.0,
wd_lr_attnFalse_pca8,wd_lr,False,8,0.2,0.5,0.0005,0.001,0.21875,0.0,0.0,
wd_lr_attnFalse_pcaNone,wd_lr,False,,0.2,0.5,0.0005,0.001,0.29513888888888884,0.0,0.0,
all_moderate_attnTrue_pca2,all_moderate,True,2,0.4,0.5,0.0005,0.01,0.2791666666666667,0.0,0.0,
all_moderate_attnTrue_pca4,all_moderate,True,4,0.4,0.5,0.0005,0.01,0.32569444444444445,0.0,0.0,
all_moderate_attnTrue_pca8,all_moderate,True,8,0.4,0.5,0.0005,0.01,0.26249999999999996,0.0,0.0,
all_moderate_attnTrue_pcaNone,all_moderate,True,,0.4,0.5,0.0005,0.01,0.2159722222222222,0.0,0.0,
all_moderate_attnFalse_pca2,all_moderate,False,2,0.4,0.5,0.0005,0.01,0.2159722222222222,0.0,0.0,
all_moderate_attnFalse_pca4,all_moderate,False,4,0.4,0.5,0.0005,0.01,0.25625,0.0,0.0,
all_moderate_attnFalse_pca8,all_moderate,False,8,0.4,0.5,0.0005,0.01,0.20416666666666666,0.0,0.0,
all_moderate_attnFalse_pcaNone,all_moderate,False,,0.4,0.5,0.0005,0.01,0.4576388888888889,0.0,0.0,
all_strong_attnTrue_pca2,all_strong,True,2,0.5,1.0,0.0001,0.1,0.17083333333333334,0.0,0.0,
all_strong_attnTrue_pca4,all_strong,True,4,0.5,1.0,0.0001,0.1,0.15833333333333333,0.0,0.0,
all_strong_attnTrue_pca8,all_strong,True,8,0.5,1.0,0.0001,0.1,0.19166666666666665,0.0,0.0,
all_strong_attnTrue_pcaNone,all_strong,True,,0.5,1.0,0.0001,0.1,0.14166666666666666,0.0,0.0,
all_strong_attnFalse_pca2,all_strong,False,2,0.5,1.0,0.0001,0.1,0.24930555555555556,0.0,0.0,
all_strong_attnFalse_pca4,all_strong,False,4,0.5,1.0,0.0001,0.1,0.22916666666666669,0.0,0.0,
all_strong_attnFalse_pca8,all_strong,False,8,0.5,1.0,0.0001,0.1,0.24513888888888885,0.0,0.0,
all_strong_attnFalse_pcaNone,all_strong,False,,0.5,1.0,0.0001,0.1,0.13958333333333334,0.0,0.0,
