run,experiment,attention,loss_ptau,pca_components,dropout,weight_decay,lr,lambda_entropy,avg_f1,avg_mse,avg_mae,error
highest_dropout_attnFalse_lossmse_pca4,highest_dropout,False,mse,4,0.5,0.1,0.001,0.001,0.18055555555555552,0.5646959258203889,0.6718298380049722,
highest_dropout_attnFalse_lossmse_pca8,highest_dropout,False,mse,8,0.5,0.1,0.001,0.001,0.35833333333333334,0.28918451150044033,0.4151159963027264,
highest_dropout_attnFalse_lossmse_pcaNone,highest_dropout,False,mse,,0.5,0.1,0.001,0.001,0.41284722222222214,0.2131589582325537,0.34903295830978703,
highest_dropout_attnFalse_lossmae_pca2,highest_dropout,False,mae,2,0.5,0.1,0.001,0.001,0.3104166666666667,0.7546612217406115,0.49738195103903615,
highest_dropout_attnFalse_lossmae_pca4,highest_dropout,False,mae,4,0.5,0.1,0.001,0.001,0.31006944444444445,0.6779571762141061,0.3935362119227648,
highest_dropout_attnFalse_lossmae_pca8,highest_dropout,False,mae,8,0.5,0.1,0.001,0.001,0.3754960317460317,0.10094814090086515,0.19536686742988724,
highest_dropout_attnFalse_lossmae_pcaNone,highest_dropout,False,mae,,0.5,0.1,0.001,0.001,0.2513888888888889,0.22341033611912403,0.3861854092683643,
higher_weight_decay_attnTrue_losshuber_pca2,higher_weight_decay,True,huber,2,0.2,0.5,0.001,0.001,0.35138888888888886,2.0178105666340986,0.6308455354107233,
higher_weight_decay_attnTrue_losshuber_pca4,higher_weight_decay,True,huber,4,0.2,0.5,0.001,0.001,0.2236111111111111,0.2670121705575181,0.4071460917281608,
higher_weight_decay_attnTrue_losshuber_pca8,higher_weight_decay,True,huber,8,0.2,0.5,0.001,0.001,0.2552083333333333,0.5026259492110776,0.5865053824769955,
higher_weight_decay_attnTrue_losshuber_pcaNone,higher_weight_decay,True,huber,,0.2,0.5,0.001,0.001,0.29236111111111107,0.13822262702875804,0.28854233600820106,
higher_weight_decay_attnTrue_lossmse_pca2,higher_weight_decay,True,mse,2,0.2,0.5,0.001,0.001,0.27777777777777773,0.39139629994244957,0.4477780381372819,
higher_weight_decay_attnTrue_lossmse_pca4,higher_weight_decay,True,mse,4,0.2,0.5,0.001,0.001,0.365079365079365,0.14992591615661555,0.2716525523962143,
higher_weight_decay_attnTrue_lossmse_pca8,higher_weight_decay,True,mse,8,0.2,0.5,0.001,0.001,0.3381944444444444,0.1875651934752108,0.27306483437617624,
higher_weight_decay_attnTrue_lossmse_pcaNone,higher_weight_decay,True,mse,,0.2,0.5,0.001,0.001,0.16874999999999998,0.13593446185157682,0.23890816187486053,
higher_weight_decay_attnTrue_lossmae_pca2,higher_weight_decay,True,mae,2,0.2,0.5,0.001,0.001,0.26006944444444446,0.4167443184267442,0.4355156379751861,
higher_weight_decay_attnTrue_lossmae_pca4,higher_weight_decay,True,mae,4,0.2,0.5,0.001,0.001,0.2899305555555555,0.14352364327101122,0.243905916189154,
higher_weight_decay_attnTrue_lossmae_pca8,higher_weight_decay,True,mae,8,0.2,0.5,0.001,0.001,0.3017361111111111,0.17638116411821925,0.2874485953555753,
higher_weight_decay_attnTrue_lossmae_pcaNone,higher_weight_decay,True,mae,,0.2,0.5,0.001,0.001,0.46076388888888886,0.1803853662444203,0.312498906472077,
higher_weight_decay_attnFalse_losshuber_pca2,higher_weight_decay,False,huber,2,0.2,0.5,0.001,0.001,0.34444444444444444,0.28233433612837106,0.4133612510437767,
higher_weight_decay_attnFalse_losshuber_pca4,higher_weight_decay,False,huber,4,0.2,0.5,0.001,0.001,0.2652777777777777,0.2628266392957258,0.44097781383122003,
higher_weight_decay_attnFalse_losshuber_pca8,higher_weight_decay,False,huber,8,0.2,0.5,0.001,0.001,0.26230158730158726,1.2809238126573446,0.6546517622967561,
higher_weight_decay_attnFalse_losshuber_pcaNone,higher_weight_decay,False,huber,,0.2,0.5,0.001,0.001,0.2,0.11176412920837175,0.2626185215388735,
higher_weight_decay_attnFalse_lossmse_pca2,higher_weight_decay,False,mse,2,0.2,0.5,0.001,0.001,0.22569444444444442,0.26063589079430627,0.31405633144701517,
higher_weight_decay_attnFalse_lossmse_pca4,higher_weight_decay,False,mse,4,0.2,0.5,0.001,0.001,0.24305555555555555,0.15482600880312045,0.2938570461313551,
