run,experiment,attention,pca_components,dropout,weight_decay,lr,lambda_entropy,avg_f1,avg_mse,avg_mae,error
all_moderate_attnTrue_pca2,all_moderate,True,2,0.4,0.5,0.0005,0.01,0.26111111111111107,0.0,0.0,
all_moderate_attnTrue_pca4,all_moderate,True,4,0.4,0.5,0.0005,0.01,0.32499999999999996,0.0,0.0,
all_moderate_attnTrue_pca8,all_moderate,True,8,0.4,0.5,0.0005,0.01,0.15486111111111112,0.0,0.0,
all_moderate_attnTrue_pcaNone,all_moderate,True,,0.4,0.5,0.0005,0.01,0.29166666666666663,0.0,0.0,
all_moderate_attnFalse_pca2,all_moderate,False,2,0.4,0.5,0.0005,0.01,0.3638888888888888,0.0,0.0,
all_moderate_attnFalse_pca4,all_moderate,False,4,0.4,0.5,0.0005,0.01,0.275,0.0,0.0,
all_moderate_attnFalse_pca8,all_moderate,False,8,0.4,0.5,0.0005,0.01,0.30625,0.0,0.0,
all_moderate_attnFalse_pcaNone,all_moderate,False,,0.4,0.5,0.0005,0.01,0.3145833333333333,0.0,0.0,
all_strong_attnTrue_pca2,all_strong,True,2,0.5,1.0,0.0001,0.1,0.15416666666666667,0.0,0.0,
all_strong_attnTrue_pca4,all_strong,True,4,0.5,1.0,0.0001,0.1,0.2534722222222222,0.0,0.0,
all_strong_attnTrue_pca8,all_strong,True,8,0.5,1.0,0.0001,0.1,0.21666666666666667,0.0,0.0,
all_strong_attnTrue_pcaNone,all_strong,True,,0.5,1.0,0.0001,0.1,0.26666666666666666,0.0,0.0,
all_strong_attnFalse_pca2,all_strong,False,2,0.5,1.0,0.0001,0.1,0.11805555555555555,0.0,0.0,
all_strong_attnFalse_pca4,all_strong,False,4,0.5,1.0,0.0001,0.1,0.22291666666666665,0.0,0.0,
all_strong_attnFalse_pca8,all_strong,False,8,0.5,1.0,0.0001,0.1,0.2,0.0,0.0,
all_strong_attnFalse_pcaNone,all_strong,False,,0.5,1.0,0.0001,0.1,0.2736111111111111,0.0,0.0,
