run,experiment,attention,loss_ptau,pca_components,dropout,weight_decay,lr,lambda_entropy,avg_f1,avg_mse,avg_mae,error
highest_dropout_attnFalse_lossmse_pca8,highest_dropout,False,mse,8,0.5,0.1,0.001,0.001,0.2625,0.42779190385807014,0.40375742603403825,
highest_dropout_attnFalse_lossmse_pcaNone,highest_dropout,False,mse,,0.5,0.1,0.001,0.001,0.365625,0.08532872806997409,0.23319446621462703,
highest_dropout_attnFalse_lossmae_pca2,highest_dropout,False,mae,2,0.5,0.1,0.001,0.001,0.2569444444444444,0.11329094735091749,0.2103048587838809,
highest_dropout_attnFalse_lossmae_pca4,highest_dropout,False,mae,4,0.5,0.1,0.001,0.001,0.4327876984126984,0.4651463737390913,0.375133950340872,
highest_dropout_attnFalse_lossmae_pca8,highest_dropout,False,mae,8,0.5,0.1,0.001,0.001,0.4197916666666667,3.083082694287385,0.7930096345177542,
highest_dropout_attnFalse_lossmae_pcaNone,highest_dropout,False,mae,,0.5,0.1,0.001,0.001,0.4006944444444444,0.039917983109404365,0.13266143002935377,
higher_weight_decay_attnTrue_losshuber_pca2,higher_weight_decay,True,huber,2,0.2,0.5,0.001,0.001,0.17708333333333331,0.21134020501177891,0.30285964607416344,
higher_weight_decay_attnTrue_losshuber_pca4,higher_weight_decay,True,huber,4,0.2,0.5,0.001,0.001,0.23333333333333334,0.31458636793508693,0.38152560444238287,
higher_weight_decay_attnTrue_losshuber_pca8,higher_weight_decay,True,huber,8,0.2,0.5,0.001,0.001,0.4097222222222222,1.168278046274721,0.4971190577683349,
higher_weight_decay_attnTrue_losshuber_pcaNone,higher_weight_decay,True,huber,,0.2,0.5,0.001,0.001,0.45902777777777776,0.14245110559784363,0.3039061642096688,
higher_weight_decay_attnTrue_lossmse_pca2,higher_weight_decay,True,mse,2,0.2,0.5,0.001,0.001,0.24375,0.28021368102929756,0.34934827794010437,
higher_weight_decay_attnTrue_lossmse_pca4,higher_weight_decay,True,mse,4,0.2,0.5,0.001,0.001,0.21770833333333334,0.04423238906002896,0.14158030273392797,
