region,cell_type,run,experiment,gene_encoder,attention,pca_components,avg_f1,avg_mse,avg_mae,dropout,weight_decay,lr,lambda_entropy,error
CrossRegion,Microglia,geTrue_attnFalse_pca16_lowest_lr,lowest_lr,True,False,16,0.23333333333333334,0.0,0.0,0.2,0.1,0.0001,0.001,
CrossRegion,Microglia,geTrue_attnFalse_pca16_higher_lambda_entropy,higher_lambda_entropy,True,False,16,0.1736111111111111,0.0,0.0,0.2,0.1,0.001,0.01,
CrossRegion,Microglia,geTrue_attnFalse_pca16_highest_lambda_entropy,highest_lambda_entropy,True,False,16,0.3076388888888889,0.0,0.0,0.2,0.1,0.001,0.1,
CrossRegion,Microglia,geTrue_attnFalse_pca16_dropout_wd,dropout_wd,True,False,16,0.2743055555555556,0.0,0.0,0.4,0.5,0.001,0.001,
CrossRegion,Microglia,geTrue_attnFalse_pca16_dropout_lr,dropout_lr,True,False,16,0.28541666666666665,0.0,0.0,0.4,0.1,0.0005,0.001,
CrossRegion,Microglia,geTrue_attnFalse_pca16_wd_lr,wd_lr,True,False,16,0.27291666666666664,0.0,0.0,0.2,0.5,0.0005,0.001,
CrossRegion,Microglia,geTrue_attnFalse_pca16_all_moderate,all_moderate,True,False,16,0.18472222222222223,0.0,0.0,0.4,0.5,0.0005,0.01,
CrossRegion,Microglia,geTrue_attnFalse_pca16_all_strong,all_strong,True,False,16,0.35486111111111107,0.0,0.0,0.5,1.0,0.0001,0.1,
CrossRegion,Microglia,geFalse_attnTrue_pca2_baseline,baseline,False,True,2,0.39652777777777776,0.0,0.0,0.2,0.1,0.001,0.001,
CrossRegion,Microglia,geFalse_attnTrue_pca2_higher_dropout,higher_dropout,False,True,2,0.28055555555555556,0.0,0.0,0.4,0.1,0.001,0.001,
CrossRegion,Microglia,geFalse_attnTrue_pca2_highest_dropout,highest_dropout,False,True,2,0.3236111111111111,0.0,0.0,0.5,0.1,0.001,0.001,
CrossRegion,Microglia,geFalse_attnTrue_pca2_higher_weight_decay,higher_weight_decay,False,True,2,0.23541666666666666,0.0,0.0,0.2,0.5,0.001,0.001,
CrossRegion,Microglia,geFalse_attnTrue_pca2_highest_weight_decay,highest_weight_decay,False,True,2,0.23680555555555555,0.0,0.0,0.2,1.0,0.001,0.001,
CrossRegion,Microglia,geFalse_attnTrue_pca2_lower_lr,lower_lr,False,True,2,0.2729166666666667,0.0,0.0,0.2,0.1,0.0005,0.001,
CrossRegion,Microglia,geFalse_attnTrue_pca2_lowest_lr,lowest_lr,False,True,2,0.2659722222222222,0.0,0.0,0.2,0.1,0.0001,0.001,
CrossRegion,Microglia,geFalse_attnTrue_pca2_higher_lambda_entropy,higher_lambda_entropy,False,True,2,0.4472222222222222,0.0,0.0,0.2,0.1,0.001,0.01,
CrossRegion,Microglia,geFalse_attnTrue_pca2_highest_lambda_entropy,highest_lambda_entropy,False,True,2,0.2972222222222222,0.0,0.0,0.2,0.1,0.001,0.1,
CrossRegion,Microglia,geFalse_attnTrue_pca2_dropout_wd,dropout_wd,False,True,2,0.3451388888888889,0.0,0.0,0.4,0.5,0.001,0.001,
CrossRegion,Microglia,geFalse_attnTrue_pca2_dropout_lr,dropout_lr,False,True,2,0.18055555555555555,0.0,0.0,0.4,0.1,0.0005,0.001,
CrossRegion,Microglia,geFalse_attnTrue_pca2_wd_lr,wd_lr,False,True,2,0.18333333333333335,0.0,0.0,0.2,0.5,0.0005,0.001,
CrossRegion,Microglia,geFalse_attnTrue_pca2_all_moderate,all_moderate,False,True,2,0.18541666666666667,0.0,0.0,0.4,0.5,0.0005,0.01,
CrossRegion,Microglia,geFalse_attnTrue_pca2_all_strong,all_strong,False,True,2,0.20555555555555555,0.0,0.0,0.5,1.0,0.0001,0.1,
CrossRegion,Microglia,geFalse_attnTrue_pca4_baseline,baseline,False,True,4,0.3666666666666667,0.0,0.0,0.2,0.1,0.001,0.001,
CrossRegion,Microglia,geFalse_attnTrue_pca4_higher_dropout,higher_dropout,False,True,4,0.28888888888888886,0.0,0.0,0.4,0.1,0.001,0.001,
CrossRegion,Microglia,geFalse_attnTrue_pca4_highest_dropout,highest_dropout,False,True,4,0.20347222222222222,0.0,0.0,0.5,0.1,0.001,0.001,
CrossRegion,Microglia,geFalse_attnTrue_pca4_higher_weight_decay,higher_weight_decay,False,True,4,0.19166666666666665,0.0,0.0,0.2,0.5,0.001,0.001,
CrossRegion,Microglia,geFalse_attnTrue_pca4_highest_weight_decay,highest_weight_decay,False,True,4,0.34305555555555556,0.0,0.0,0.2,1.0,0.001,0.001,
CrossRegion,Microglia,geFalse_attnTrue_pca4_lower_lr,lower_lr,False,True,4,0.28888888888888886,0.0,0.0,0.2,0.1,0.0005,0.001,
CrossRegion,Microglia,geFalse_attnTrue_pca4_lowest_lr,lowest_lr,False,True,4,0.3555555555555555,0.0,0.0,0.2,0.1,0.0001,0.001,
CrossRegion,Microglia,geFalse_attnTrue_pca4_higher_lambda_entropy,higher_lambda_entropy,False,True,4,0.38819444444444445,0.0,0.0,0.2,0.1,0.001,0.01,
CrossRegion,Microglia,geFalse_attnTrue_pca4_highest_lambda_entropy,highest_lambda_entropy,False,True,4,0.22430555555555554,0.0,0.0,0.2,0.1,0.001,0.1,
CrossRegion,Microglia,geFalse_attnTrue_pca4_dropout_wd,dropout_wd,False,True,4,0.2645833333333333,0.0,0.0,0.4,0.5,0.001,0.001,
CrossRegion,Microglia,geFalse_attnTrue_pca4_dropout_lr,dropout_lr,False,True,4,0.30277777777777776,0.0,0.0,0.4,0.1,0.0005,0.001,
CrossRegion,Microglia,geFalse_attnTrue_pca4_wd_lr,wd_lr,False,True,4,0.23958333333333331,0.0,0.0,0.2,0.5,0.0005,0.001,
CrossRegion,Microglia,geFalse_attnTrue_pca4_all_moderate,all_moderate,False,True,4,0.2520833333333333,0.0,0.0,0.4,0.5,0.0005,0.01,
CrossRegion,Microglia,geFalse_attnTrue_pca4_all_strong,all_strong,False,True,4,0.15833333333333333,0.0,0.0,0.5,1.0,0.0001,0.1,
CrossRegion,Microglia,geFalse_attnTrue_pca8_baseline,baseline,False,True,8,0.3361111111111111,0.0,0.0,0.2,0.1,0.001,0.001,
