region,cell_type,run,experiment,gene_encoder,attention,pca_components,avg_f1,avg_mse,avg_mae,dropout,weight_decay,lr,lambda_entropy,error
PFC,Microglia,geTrue_attnFalse_pca16_higher_weight_decay,higher_weight_decay,True,False,16,0.3388888888888889,0.0,0.0,0.2,0.5,0.001,0.001,
PFC,Microglia,geTrue_attnFalse_pca16_highest_weight_decay,highest_weight_decay,True,False,16,0.37916666666666665,0.0,0.0,0.2,1.0,0.001,0.001,
PFC,Microglia,geTrue_attnFalse_pca16_lower_lr,lower_lr,True,False,16,0.24374999999999997,0.0,0.0,0.2,0.1,0.0005,0.001,
PFC,Microglia,geTrue_attnFalse_pca16_lowest_lr,lowest_lr,True,False,16,0.21041666666666664,0.0,0.0,0.2,0.1,0.0001,0.001,
PFC,Microglia,geTrue_attnFalse_pca16_higher_lambda_entropy,higher_lambda_entropy,True,False,16,0.30277777777777776,0.0,0.0,0.2,0.1,0.001,0.01,
PFC,Microglia,geTrue_attnFalse_pca16_highest_lambda_entropy,highest_lambda_entropy,True,False,16,0.3944444444444445,0.0,0.0,0.2,0.1,0.001,0.1,
PFC,Microglia,geTrue_attnFalse_pca16_dropout_wd,dropout_wd,True,False,16,0.22291666666666665,0.0,0.0,0.4,0.5,0.001,0.001,
PFC,Microglia,geTrue_attnFalse_pca16_dropout_lr,dropout_lr,True,False,16,0.3868055555555555,0.0,0.0,0.4,0.1,0.0005,0.001,
PFC,Microglia,geTrue_attnFalse_pca16_wd_lr,wd_lr,True,False,16,0.3472222222222222,0.0,0.0,0.2,0.5,0.0005,0.001,
PFC,Microglia,geTrue_attnFalse_pca16_all_moderate,all_moderate,True,False,16,0.23333333333333334,0.0,0.0,0.4,0.5,0.0005,0.01,
PFC,Microglia,geTrue_attnFalse_pca16_all_strong,all_strong,True,False,16,0.24652777777777776,0.0,0.0,0.5,1.0,0.0001,0.1,
PFC,Microglia,geFalse_attnTrue_pca2_baseline,baseline,False,True,2,0.3673611111111111,0.0,0.0,0.2,0.1,0.001,0.001,
PFC,Microglia,geFalse_attnTrue_pca2_higher_dropout,higher_dropout,False,True,2,0.3694444444444444,0.0,0.0,0.4,0.1,0.001,0.001,
PFC,Microglia,geFalse_attnTrue_pca2_highest_dropout,highest_dropout,False,True,2,0.27361111111111114,0.0,0.0,0.5,0.1,0.001,0.001,
PFC,Microglia,geFalse_attnTrue_pca2_higher_weight_decay,higher_weight_decay,False,True,2,0.14444444444444446,0.0,0.0,0.2,0.5,0.001,0.001,
PFC,Microglia,geFalse_attnTrue_pca2_highest_weight_decay,highest_weight_decay,False,True,2,0.3104166666666667,0.0,0.0,0.2,1.0,0.001,0.001,
PFC,Microglia,geFalse_attnTrue_pca2_lower_lr,lower_lr,False,True,2,0.22152777777777777,0.0,0.0,0.2,0.1,0.0005,0.001,
PFC,Microglia,geFalse_attnTrue_pca2_lowest_lr,lowest_lr,False,True,2,0.24722222222222223,0.0,0.0,0.2,0.1,0.0001,0.001,
PFC,Microglia,geFalse_attnTrue_pca2_higher_lambda_entropy,higher_lambda_entropy,False,True,2,0.35763888888888884,0.0,0.0,0.2,0.1,0.001,0.01,
PFC,Microglia,geFalse_attnTrue_pca2_highest_lambda_entropy,highest_lambda_entropy,False,True,2,0.33611111111111114,0.0,0.0,0.2,0.1,0.001,0.1,
PFC,Microglia,geFalse_attnTrue_pca2_dropout_wd,dropout_wd,False,True,2,0.2875,0.0,0.0,0.4,0.5,0.001,0.001,
PFC,Microglia,geFalse_attnTrue_pca2_dropout_lr,dropout_lr,False,True,2,0.3083333333333333,0.0,0.0,0.4,0.1,0.0005,0.001,
PFC,Microglia,geFalse_attnTrue_pca2_wd_lr,wd_lr,False,True,2,0.16874999999999998,0.0,0.0,0.2,0.5,0.0005,0.001,
PFC,Microglia,geFalse_attnTrue_pca2_all_moderate,all_moderate,False,True,2,0.3090277777777778,0.0,0.0,0.4,0.5,0.0005,0.01,
PFC,Microglia,geFalse_attnTrue_pca2_all_strong,all_strong,False,True,2,0.2625,0.0,0.0,0.5,1.0,0.0001,0.1,
PFC,Microglia,geFalse_attnTrue_pca4_baseline,baseline,False,True,4,0.3333333333333333,0.0,0.0,0.2,0.1,0.001,0.001,
PFC,Microglia,geFalse_attnTrue_pca4_higher_dropout,higher_dropout,False,True,4,0.44166666666666665,0.0,0.0,0.4,0.1,0.001,0.001,
PFC,Microglia,geFalse_attnTrue_pca4_highest_dropout,highest_dropout,False,True,4,0.35138888888888886,0.0,0.0,0.5,0.1,0.001,0.001,
PFC,Microglia,geFalse_attnTrue_pca4_higher_weight_decay,higher_weight_decay,False,True,4,0.25625,0.0,0.0,0.2,0.5,0.001,0.001,
PFC,Microglia,geFalse_attnTrue_pca4_highest_weight_decay,highest_weight_decay,False,True,4,0.24583333333333332,0.0,0.0,0.2,1.0,0.001,0.001,
PFC,Microglia,geFalse_attnTrue_pca4_lower_lr,lower_lr,False,True,4,0.3125,0.0,0.0,0.2,0.1,0.0005,0.001,
PFC,Microglia,geFalse_attnTrue_pca4_lowest_lr,lowest_lr,False,True,4,0.1625,0.0,0.0,0.2,0.1,0.0001,0.001,
PFC,Microglia,geFalse_attnTrue_pca4_higher_lambda_entropy,higher_lambda_entropy,False,True,4,0.27847222222222223,0.0,0.0,0.2,0.1,0.001,0.01,
PFC,Microglia,geFalse_attnTrue_pca4_highest_lambda_entropy,highest_lambda_entropy,False,True,4,0.3291666666666666,0.0,0.0,0.2,0.1,0.001,0.1,
PFC,Microglia,geFalse_attnTrue_pca4_dropout_wd,dropout_wd,False,True,4,0.23055555555555554,0.0,0.0,0.4,0.5,0.001,0.001,
PFC,Microglia,geFalse_attnTrue_pca4_dropout_lr,dropout_lr,False,True,4,0.2638888888888889,0.0,0.0,0.4,0.1,0.0005,0.001,
PFC,Microglia,geFalse_attnTrue_pca4_wd_lr,wd_lr,False,True,4,0.15347222222222223,0.0,0.0,0.2,0.5,0.0005,0.001,
PFC,Microglia,geFalse_attnTrue_pca4_all_moderate,all_moderate,False,True,4,0.31805555555555554,0.0,0.0,0.4,0.5,0.0005,0.01,
PFC,Microglia,geFalse_attnTrue_pca4_all_strong,all_strong,False,True,4,0.26041666666666663,0.0,0.0,0.5,1.0,0.0001,0.1,
PFC,Microglia,geFalse_attnTrue_pca8_baseline,baseline,False,True,8,0.24861111111111112,0.0,0.0,0.2,0.1,0.001,0.001,
PFC,Microglia,geFalse_attnTrue_pca8_higher_dropout,higher_dropout,False,True,8,0.22430555555555554,0.0,0.0,0.4,0.1,0.001,0.001,
